wind,strehl_long
0.001000,0.852606
0.001500,0.844978
0.002000,0.830146
0.002500,0.814163
0.003000,0.791302
0.003500,0.769492
0.004000,0.748988
0.004000,0.748988
0.004500,0.728699
0.005000,0.705707
0.005500,0.677511
0.006000,0.650567
0.006500,0.629777
0.007000,0.600207
0.007000,0.600207
0.007500,0.567199
0.008000,0.542584
0.008500,0.515922
0.009000,0.487502
0.009500,0.462010
0.010000,0.443447
0.010500,0.411488
0.011000,0.377219
0.011500,0.352170
