0.001000,0.497487,0.257023,0.141306,0.092558,0.077085,0.073589,0.073049,0.073187,0.073416,0.073422,0.073322,0.073407,0.073607,0.073538,0.073043,0.072037,0.070912,0.070386,0.070250,0.070086,0.070006,0.070216,0.070530,0.070493,0.070136,0.069936,0.070041,0.070371,0.070650,0.070626,0.070461,0.070385,0.070325,0.070497,0.070857,0.071151,0.071297,0.071446,0.071459,0.071368,0.071170,0.070797,0.070229,0.069439,0.068573,0.067925,0.067683,0.067692,0.067850,0.068244,0.069002,0.069967,0.070832,0.071764,0.072948,0.074266,0.075648,0.077247,0.078790,0.079805,0.080408,0.080729,0.080437,0.079673,0.078577,0.077596,0.077126,0.076885,0.076341,0.075751,0.075607,0.075665,0.075597,0.075696,0.075809,0.075776,0.075759,0.075175,0.074661,0.074701,0.075105,0.075358,0.074869,0.073752,0.073258,0.073536,0.073762,0.073540,0.073173,0.073152,0.073714,0.074163,0.074341,0.074606,0.075141,0.075849,0.076436,0.076697,0.076695,0.076683,0.076765,0.076722,0.076375,0.075873,0.075392,0.074693,0.073755,0.072476,0.071054,0.069713,0.068669,0.068235,0.068399,0.069030,0.069699,0.070480,0.071412,0.072455,0.073399,0.074103
0.006000,0.496737,0.248755,0.139231,0.103709,0.099926,0.104214,0.105861,0.106047,0.105821,0.107274,0.109744,0.110318,0.112298,0.114900,0.115530,0.117001,0.119640,0.122405,0.120001,0.122254,0.125016,0.122066,0.123834,0.128253,0.128432,0.123311,0.124881,0.125787,0.126233,0.131571,0.129899,0.126583,0.130018,0.125755,0.120241,0.123715,0.127689,0.124805,0.125210,0.128650,0.129029,0.128309,0.130709,0.129999,0.131998,0.137462,0.135721,0.133983,0.135452,0.137705,0.138977,0.138025,0.132939,0.128297,0.126453,0.128262,0.128332,0.125711,0.121421,0.118625,0.119538,0.118389,0.116393,0.114561,0.111082,0.109562,0.110091,0.109052,0.108066,0.104369,0.101804,0.102232,0.106817,0.110514,0.101474,0.096080,0.102685,0.105682,0.104429,0.110603,0.111371,0.106534,0.108898,0.114007,0.109985,0.106766,0.110144,0.109921,0.109229,0.111972,0.114390,0.113349,0.117173,0.122073,0.123831,0.122702,0.121100,0.119292,0.118814,0.121880,0.125050,0.125935,0.125774,0.127359,0.124852,0.118970,0.115384,0.113370,0.116058,0.115406,0.110163,0.109040,0.112522,0.114753,0.112802,0.112559,0.115071,0.115149,0.119371,0.123343
0.011000,0.493544,0.243602,0.143438,0.130661,0.136190,0.144178,0.151556,0.161599,0.164627,0.170182,0.176954,0.180563,0.180896,0.178771,0.177220,0.176874,0.182128,0.180249,0.174632,0.176711,0.178606,0.184444,0.183394,0.185149,0.189485,0.191695,0.193371,0.200724,0.201232,0.192212,0.190136,0.183805,0.173698,0.169914,0.162993,0.155195,0.150986,0.147172,0.142350,0.146868,0.145356,0.136709,0.142516,0.151155,0.149057,0.152817,0.148478,0.151343,0.151561,0.155649,0.159105,0.168859,0.167511,0.164574,0.168434,0.172709,0.172990,0.164345,0.153801,0.155832,0.149385,0.150625,0.150961,0.152025,0.158326,0.165961,0.169504,0.185065,0.199661,0.205076,0.212364,0.216478,0.221499,0.219968,0.218625,0.203097,0.188462,0.178876,0.166712,0.158052,0.159269,0.170889,0.184322,0.188845,0.191928,0.188120,0.185637,0.191313,0.202453,0.205555,0.197439,0.189438,0.184810,0.183352,0.180011,0.171791,0.172030,0.175388,0.187998,0.198198,0.221638,0.248034,0.268013,0.270955,0.269404,0.263869,0.251476,0.248293,0.243065,0.243102,0.240345,0.233781,0.221225,0.209549,0.197958,0.185284,0.166307,0.148394,0.143515,0.154100
0.016000,0.488469,0.233984,0.155273,0.160571,0.177352,0.196197,0.210762,0.224185,0.221862,0.216546,0.214111,0.218590,0.216372,0.213728,0.215749,0.218777,0.223147,0.231104,0.239140,0.247577,0.238493,0.229815,0.213605,0.201116,0.185132,0.173118,0.170118,0.181173,0.166903,0.172509,0.177946,0.183566,0.181345,0.181279,0.184672,0.199253,0.198121,0.203004,0.208257,0.198860,0.186342,0.184768,0.182159,0.182361,0.192646,0.201822,0.234412,0.261058,0.270675,0.278060,0.281338,0.270565,0.242973,0.219115,0.193947,0.194858,0.218084,0.232612,0.240237,0.239046,0.252664,0.255712,0.241960,0.231771,0.222518,0.209663,0.206862,0.222831,0.249774,0.297471,0.340030,0.350081,0.344228,0.326276,0.318776,0.317357,0.306380,0.282859,0.252445,0.227315,0.195550,0.173747,0.194379,0.229984,0.262137,0.291571,0.320724,0.338420,0.332738,0.304221,0.269165,0.216046,0.172135,0.165991,0.162884,0.170110,0.182435,0.192545,0.207805,0.212787,0.236418,0.246811,0.244324,0.236276,0.222242,0.210617,0.195844,0.184919,0.171564,0.172114,0.181854,0.196549,0.215980,0.235620,0.241876,0.217172,0.196838,0.187636,0.190221,0.190153
0.021000,0.481351,0.225163,0.170112,0.192232,0.222893,0.255651,0.255353,0.245068,0.249238,0.241950,0.241219,0.247340,0.251187,0.255554,0.276404,0.277787,0.263099,0.238076,0.210164,0.188237,0.193332,0.189211,0.196260,0.201604,0.201953,0.202977,0.211035,0.224344,0.232834,0.237080,0.218176,0.212135,0.206416,0.209251,0.228217,0.278048,0.308226,0.325944,0.330691,0.307846,0.268181,0.226395,0.229782,0.264031,0.280272,0.281151,0.294743,0.284627,0.265676,0.246865,0.226953,0.251692,0.305888,0.385301,0.409108,0.406669,0.392432,0.383090,0.360118,0.311406,0.270026,0.220024,0.211749,0.264346,0.317684,0.369395,0.407190,0.400902,0.356217,0.281781,0.203073,0.187595,0.187598,0.210158,0.228185,0.246961,0.272280,0.291160,0.288374,0.272264,0.253101,0.230573,0.203014,0.196214,0.209675,0.252476,0.286799,0.284317,0.248672,0.224913,0.215339,0.209653,0.206674,0.197493,0.200616,0.207049,0.218273,0.232778,0.237735,0.217478,0.211281,0.220767,0.260301,0.311904,0.337792,0.338142,0.324043,0.300272,0.273447,0.250257,0.247305,0.268065,0.270415,0.248752,0.227765,0.204182,0.184586,0.158556,0.153480,0.158702
0.026000,0.471784,0.218567,0.190906,0.231605,0.278109,0.281492,0.268219,0.257348,0.260522,0.265975,0.274876,0.297935,0.304372,0.278831,0.241788,0.206525,0.209219,0.204723,0.215212,0.222812,0.225459,0.236090,0.243883,0.257147,0.247994,0.241472,0.232541,0.246712,0.301079,0.351212,0.377022,0.369361,0.314150,0.254974,0.263115,0.299995,0.313110,0.339001,0.316692,0.283474,0.250654,0.270100,0.351623,0.447719,0.461599,0.443205,0.435057,0.394208,0.323531,0.258799,0.239035,0.310671,0.397578,0.469850,0.468067,0.404220,0.279790,0.209966,0.208794,0.238848,0.269500,0.300647,0.342497,0.334037,0.305531,0.270847,0.230834,0.216609,0.243808,0.301731,0.326013,0.281929,0.246892,0.226057,0.224904,0.216139,0.217623,0.228553,0.247035,0.264225,0.244432,0.236666,0.268864,0.331538,0.373016,0.373845,0.338075,0.305463,0.269744,0.269967,0.291804,0.278745,0.255893,0.221164,0.188914,0.167768,0.173283,0.177022,0.213384,0.228329,0.260583,0.294130,0.279720,0.214729,0.178716,0.186854,0.206154,0.240698,0.263190,0.304664,0.338600,0.361013,0.364088,0.346071,0.326925,0.282828,0.250132,0.285601,0.318069,0.331891
0.031000,0.460358,0.191937,0.236382,0.280598,0.277820,0.276434,0.275371,0.278859,0.290333,0.310224,0.305460,0.273167,0.234696,0.217018,0.218373,0.224142,0.231805,0.227992,0.254414,0.264673,0.241092,0.226511,0.228775,0.267903,0.328041,0.351050,0.331437,0.267081,0.247831,0.295738,0.303723,0.316743,0.287174,0.270432,0.276631,0.351717,0.442018,0.418138,0.402571,0.373292,0.304946,0.236471,0.255459,0.331811,0.400103,0.406430,0.329157,0.216040,0.205411,0.226781,0.247673,0.281111,0.312466,0.287481,0.246893,0.226282,0.214301,0.251334,0.294637,0.270915,0.233702,0.236170,0.249294,0.230148,0.244674,0.254953,0.262560,0.225555,0.235930,0.297028,0.358788,0.357678,0.317863,0.291745,0.275926,0.304582,0.261754,0.227181,0.206359,0.185578,0.180815,0.189173,0.225125,0.236035,0.275630,0.270762,0.232340,0.191190,0.205361,0.241743,0.265723,0.294324,0.322861,0.329481,0.325036,0.309062,0.269081,0.256548,0.305625,0.328667,0.326072,0.272808,0.254328,0.278257,0.324006,0.330400,0.295269,0.226896,0.187586,0.196079,0.201810,0.206069,0.207006,0.248851,0.258851,0.264774,0.278349,0.292371,0.287641,0.315960
0.036000,0.447839,0.211306,0.274928,0.307000,0.293790,0.285709,0.298317,0.311768,0.340329,0.307032,0.260517,0.232733,0.234198,0.244152,0.242021,0.262407,0.274757,0.258784,0.253013,0.248228,0.323411,0.375264,0.383960,0.301871,0.266060,0.324779,0.333691,0.345267,0.296085,0.274415,0.380694,0.487442,0.462430,0.432933,0.368799,0.279120,0.264743,0.372894,0.460526,0.437169,0.300450,0.213692,0.239782,0.270552,0.317880,0.333362,0.292743,0.248362,0.224620,0.273509,0.326203,0.270775,0.253140,0.259709,0.245384,0.256304,0.278906,0.280093,0.251493,0.293378,0.386770,0.383983,0.341916,0.306279,0.303183,0.305517,0.261513,0.229995,0.191935,0.194704,0.208138,0.251857,0.286659,0.313525,0.240874,0.201773,0.215491,0.277439,0.304942,0.336298,0.361742,0.354770,0.325063,0.283704,0.303172,0.356609,0.359595,0.281105,0.279831,0.320392,0.368243,0.347247,0.251633,0.199594,0.202245,0.204719,0.228264,0.252155,0.273668,0.286539,0.311526,0.316836,0.325051,0.366678,0.361153,0.370324,0.320193,0.254424,0.301263,0.465676,0.532422,0.489706,0.352071,0.312676,0.307567,0.276924,0.228969,0.228729,0.276837,0.304537
0.041000,0.434873,0.235230,0.315069,0.315518,0.314538,0.314050,0.325720,0.359910,0.322864,0.254855,0.252914,0.243981,0.261560,0.271166,0.288963,0.275239,0.253110,0.286629,0.386920,0.418121,0.339614,0.281546,0.350830,0.370758,0.349467,0.298401,0.364514,0.510795,0.498263,0.467738,0.367587,0.256135,0.346241,0.485867,0.492218,0.332636,0.222283,0.261574,0.319671,0.379275,0.345924,0.286155,0.236286,0.299316,0.359067,0.282419,0.261603,0.269039,0.260756,0.290846,0.297490,0.264698,0.347859,0.421412,0.395740,0.330444,0.317834,0.332751,0.271693,0.228028,0.193954,0.205644,0.259670,0.296243,0.329554,0.243807,0.211667,0.257035,0.302140,0.356466,0.397283,0.388436,0.347287,0.295071,0.349555,0.391175,0.347390,0.289936,0.338575,0.399728,0.362932,0.238148,0.210303,0.224254,0.236977,0.261063,0.293688,0.305955,0.334614,0.332170,0.381159,0.385184,0.402334,0.339028,0.269059,0.359530,0.563601,0.582044,0.421561,0.330436,0.325112,0.293356,0.246265,0.249908,0.311983,0.338108,0.335190,0.319499,0.324490,0.425570,0.470255,0.355396,0.322448,0.333995,0.306125,0.288293,0.330507,0.371004,0.420098,0.415310
0.046000,0.422341,0.257460,0.343787,0.324696,0.316782,0.334056,0.381960,0.340085,0.262035,0.268005,0.268022,0.266039,0.298268,0.299144,0.284471,0.295685,0.419180,0.444191,0.326527,0.331036,0.388071,0.384233,0.316531,0.371212,0.549066,0.533600,0.493091,0.353637,0.286075,0.467611,0.556634,0.384932,0.226795,0.283822,0.358786,0.404988,0.339287,0.269408,0.300167,0.383687,0.297874,0.271749,0.263842,0.275438,0.308456,0.278470,0.316063,0.453684,0.430568,0.344068,0.339300,0.339843,0.267885,0.203574,0.208105,0.262097,0.299801,0.348030,0.241623,0.222390,0.290112,0.352991,0.421776,0.421698,0.388279,0.306580,0.377290,0.408435,0.304404,0.328021,0.409660,0.399097,0.268906,0.218506,0.234483,0.250188,0.297599,0.322075,0.338637,0.355579,0.396388,0.413412,0.426552,0.327403,0.289838,0.493089,0.643003,0.526627,0.360892,0.343769,0.311655,0.258345,0.288421,0.333676,0.362871,0.338965,0.343406,0.445347,0.500701,0.368202,0.340799,0.345735,0.303200,0.336069,0.386310,0.456352,0.451472,0.382834,0.381092,0.297266,0.278302,0.274616,0.324416,0.331759,0.316339,0.307881,0.360540,0.366133,0.260585,0.258473
